artist,genre,guitarKey,lyrics,music,postedBy,song,visits,writer
Athma Liyanage,, C minor ,",|Cm  | - | - | - |Bb | - | -  | - |
|Fm  | - |Bb | - |Cm | - | -  | - |
|Cm  | - |Ab | - |Bb | - |Cm  | - |,Cm       Fm          Bb        Cm		 
මේ හිත තනියෙන් නුඹ එනකන් හිටිය තරම්
Cm       Fm          Bb        Cm		 
නෑ මං දන්නා වෙන කවුරුත් නුඹව තරම්
Cm     Fm Bb        Cm		 
ආදරයෙන්….. එදා ඉදන්,Fm          Bb             Gm   Dm   Cm 				         
කඳුලක් ලඟ නැවතුන ඇහිපිය දුරකට යවමින් 
Fm          Bb             Gm   Dm   Cm 				         
හුස්මත් මට අමතක කරනා මතකය හොයමින් 
Bb     Ab    Bb        Fm      Bb      Cm	
ආයේ හීනේ මැද්දෙන් -  ජීවිතේ අලුතෙන් ලියන තරම්,Fm          Bb             Gm   Dm   Cm 				         
වරුවක් ළඟ මුමුණන ඔය හිත මගෙමද හිතමින් 
Fm          Bb             Gm   Dm   Cm 				         
තනියක් නැති දවසක් එනකන්  තව මඟ බලමින් 
Bb     Ab    Bb        Fm      Bb      Cm	
ආයේ හීනේ මැද්දෙන් -  ආදරේ අමුණා තියෙන තරම්,[the_ad id='5764'],|Cm | - | - | - |
|Bb | - | - | - |
|Fm | - |Bb | - |
|Cm | - | - | - |
|Cm | - |Ab | - |
|Bb | - |Cm | - |,||Cm | - | - | - |
 |Fm | - | - | - |
 |Bb | - | - | - |
 |Cm | - | - | - ||
 |Fm | - |Bb | - |
 |Cm | - | - | - |,||Fm | - |Bb | - |
 |Gm |Dm |Cm | - ||
 |Bb | - | - | - |
 |Ab | - |Bb | - |
 |Fm | - |Bb | - |
 |Cm | - | + | + |",Thilina Ruhunuge,Harsha Jayamanne,මේ හිත තනියෙන්,"1,466",Rachita Wakishta
W.D.Amaradewa,"Classics,Request", C minor ,",|| + | + | + | + ||
 |Cm |Fm |Ab | - |
 |Cm | - | - | - |,Cm
මේ ගුරු පාරේ මේ දොල අයිනේ
Cm    Fm       Eb  
අපේ රහස් ඇත සැගවීලා
Eb    Bb       Cm
අපේ රහස් ඇත ලියැවීලා,|Cm |Ab | G |Cm |
|Bb |Bb7|Eb | - |
|Cm |Fm |Ab | - |
|Cm | - | - | - |,Cm            G     Cm
පටු මාවත් වල දූවිලි අතරේ
Cm    Fm             Cm
අපගේ ඉපැරණි පිය සටහන් ඇත//
C7        F               C
දොල මත දිදුලන පෙණ පිඩු අතරේ
C      Bb    Ab      Cm 
අපේ කතාවේ කෙටි පටුනක් ඇත
|C|-|G|Cm|,,Cm             G       Cm
ඉර හද ඇසුවා ඇලදොල දුටුවා..
Cm      Fm             Cm
අතිනත් ගෙන අප දෙඩූ කතාබහ//
C7     F              C
එනමුදු එදවස් සඟවනු හැකිවේ
C      Bb      Ab      Cm 
ඉරට හදට ඇල දොලට කතා බැහැ
|C|-|G|Cm|,,,|| + | + | + | + ||
 |Cm |Fm |Ab | - |
 |Cm | - | - | - |,|Cm | - | - | - |
|Cm |Fm |Eb | - |
|Eb |Bb |Cm | - |,|Cm |Ab | G |Cm |
|Bb |Bb7|Eb | - |
|Cm |Fm |Ab | - |
|Cm | - | - | - |,||Cm | - | G |Cm |
 |Cm |Fm | - |Cm ||
 |C7 | F | - | C |
 | C |Bb |Ab |Cm | 
 |,|,",Sanath Nandasiri,Harsha Jayamanne,මේ ගුරු පාරේ,"10,969",Sunil Ariyarathna
,,,,,,,,
,,,,,,,,
,,,,,,,,
Shyami Fonseka,Golden Pop, E major ,",| E | - | - | - |
| E | - | - | - |
| E |E7 | A | - |
| B | - | E | - |
| E | - | - | - |,E                        E7        A
රස පිරුනු කතා හොදට ගොතා ඔබට කියන්නම්
    B                     B7       E
ඉර හැරුනු වෙලේ හඳපානේ ගීත ගයන්නම්
       A                B
එනු ඉක්මන් වී..මා වෙත ලංවී
       B/A/B       E
ඔබටයි මා.... ආදරේ.,E                   B                  E
මගේ පැතුම් ඔබ ගාවයි ඔබේ පැතුම් මා ගාවයි//
       A                 B
පවසමි මිහිරි කතා ඔබෙ ආදරය පතා
       B/A/B       E
ඔබටයි මා.... ආදරේ.,E                   B                  E
සිතේ යමක් මට නොදැනී රැඳී තිබේ මම දනිමී//
       A                 B
ඒ ඔබ ගැනයි ප්‍රියේ උතුරයි සතුට ලයේ
       B/A/B       E
ඔබටයි මා.... ආදරේ.,,,| E | - | - | - |
| E | - | - | - |
| E |E7 | A | - |
| B | - | E | - |
| E | - | - | - |,| E | - |E7 | A |
| B | - |B7 | E |
| A | - | B | - |
|B/A/B/+| E | - |,|| E | - | B | - |
 | B | - | E | - ||
 | A | - | B | - |
 |B/A/B/+| E | - |,",Clarence Wijewardena,Harsha Jayamanne,රස පිරුනු කතා,"1,013",Clarence Wijewardena
M.S.Fernando,"Calypso,Golden Pop", Eb major ,",||Eb | - | - |Bb |
 |Bb | - |Bb7|Eb ||,Eb
රස ආහර කවලා රන් කූඩුවෙ තබලා 
                        Bb
ඇති කරන්න ගත්න මාල ගිරවී
 Ab          Eb     Bb           Eb
අත හරින්න කියලා ඇයි කියන්නෙ ඔහෙලා 
Bb7                   Eb
සිතුවද ඇ දාල යයි කියාලා,||Eb | - |Ab | - |
 |Bb |Bb7|Eb | - ||,Ab                     Eb
මම බත් කැවද ගිරවි කියල ඇහුවම 
Bb7                     Eb|Eb7
ඔව් මම බත් කෑව කියනවා     
     Ab                     Eb
මම ගිරවි ගිහින් කැලේ අත අරින්නද
 Bb7                 Eb
අනේ අනේ එපා කියනවා     
     Ab                       Eb
අපි ඇති කෙරුවත් රං කූඩුවෙ දමලා
 Bb7                        Eb|Eb7
කුස පිරෙන්න රජ ආහර කවලා
    Ab                    Eb
ගිරවුන් යනවලු ලැබුනොත් පැනලා
 Bb7                        Eb
ඔබ යනවලු මටත් එහෙම කරලා 
        Ab                     Eb      
වත්තෙ මල් පිපෙන්නෙ නෑ ගෙදර සිරියාවක් නෑ
Bb7                       Eb|Eb7
ඔබ නැති නම් මේ දේවල් නෑ
Ab                   Eb
ගිරවුන් හොඳ නෑ මේ ගිරවි එහෙම නෑ 
Bb7                      Eb
අත හැරියත් දාල යන්නෙ නෑ,,Ab                    Eb
ඔබේ රෑන සමග පියඹාගෙන යන්න
 Bb7                       Eb
කුඹුරට ගොස් අහුලාගෙන කන්න  
Ab                       Eb
කැලේ ගහක රෑ කාලෙ ගෙවන්න
       Bb7                   Eb
ඔබට ආස නැද්ද ඒ විදිහට ඉන්න
 Ab                       Eb
ලස්සන මල් වතුවල ගැවසෙන්න
 Bb7                   Eb
වලාකුළු ඉරාගෙන ඉගිලෙන්න
 Ab                      Eb
නෙලා ගෙන ඇවිත් පළතුරු කන්න
       Bb7                   Eb
ඔබට ආස නැද්ද ඒ විදිහට ඉන්න 
   Ab           Eb
ඒ විදිහට ඉන්න ආසදැයි බලන්න
Bb7                         Eb|Eb7
මේ කූඩුවෙ දොර ඇරල තියන්න
     Ab               Eb
මාව දාලා යන්න බැහැ නේද කියන්න 
Bb7                   Eb
මට ආසයි එය දැන ගන්න,,,||Eb | - | - |Bb |
 |Bb | - |Bb7|Eb ||,| + |Eb | - | - |
 |Eb | - |Bb | - |
 |Ab |Eb |Bb |Eb |
 |Bb7| - |Eb | - |,||Eb | - |Ab | - |
 |Bb |Bb7|Eb | - ||,||Ab | - |Eb | - |
 |Bb7| - |Eb |Eb7|
 |Ab | - |Eb | - |
 |Bb7| - |Eb | - ||
 |Ab | - |Eb | - ||
 |Bb7| - |Eb |Eb7|
 |Ab | - |Eb | - ||
 |Bb7| - |Eb | - |,",P.L.A.Somapala,Harsha Jayamanne,රස ආහර කවලා,"1,110",Karunarathna Abeysekara
,,,,,,,,
,,,,,,,,
Mohideen Beg,"Duets,Golden Oldies,Movie Songs,Request", D Major ,",D              G
රාණි එන්කෝ නැගී ම පෙම්
D        D / G     D 
රාජයා වුණීය මා ලෝවේ උතුම් 
D7        G         A   A7           
*ප්‍රේමයේ නුරා රසේ බිබී තුඩින්
D
 රාණි හා විඳින්නදෝ සැපේ උතුම්*,| D | A | D | A |
| D | A |,D       D         A          D
හෝ……… සීතා වේ ඔයා උතුම් වු ප්‍රේමයේ
D       D       A          D
හෝ……… රාම රාජයා ඔබයි මගේ ප්‍රියේ,D                G
රාවණා පරාද වී ගියා ඔබෙන්
D     D / G    D 
රාණි එන්කෝ නැගී ම පෙම්,,| G | - | D | - |
| A |A7 | D | - |
| A | - | D | - |
| D | - | D | - |,D       D         A        D
හෝ……… ප්‍රේමයේ සුළං වැදීල මාලතී
D       D         A        D
හෝ……… පුෂ්පයන් වැටී ශ්‍රියාව හා වුනී,D                 G
ප්‍රීති ගී ගයාවි සැම පක්ෂියා
D     D / G    D 
රාණි එන්කෝ නැගී ම පෙම්,,A7             D
හ්ම්………හ්ම්………..ම්……..//,,,| D | - | G | - |
| D |D/G| D | - |
|D7 | G | A |A7 |
| D | - | D | - |",R.A.Chandrasena,Harsha Jayamanne,රාණි එන්කෝ නැගී,788,A.H.De Zoysa
Milton Mallawarachchi,Old Pops,,",| C | + | F | +  |

|Am |Em | C |G7/C|
| G |F/C|Dm |G/C |
| C | G | C | -  |,C              G         C	
රණඹර ඉඳු දුනු සිතුවම් වෙලා 
C                  G         C	
බිඟු වැල් මල් කෙමි මත මත්වෙලා  	                     
C	  C7     F       C/F/Bb      C
වසන්තේ උදාවුණා වසන්තේ…. උදාවුණා //,| C | G |C/G| C |
| G |Dm |Am | C |
| C | G | F | C |
| C |G/C|Dm | C |,C               C7          F 
රන් බඳ රන් කුඹු රන් සළු වෙලා 
F /Bb  F /Bb  F         C
චන්දන අංජන දෙනෙතේ උලා //
C              F	            
දෙපයේ කිංකිණි නූපුර සොලවා 
G              C
මා වෙත ඈ එනවා,,C                 C7        F 
ඇගෙ ළැම රන් ගිරි දෙයද මැදේ 
 F /Bb F /Bb  F         C
මගෙ ජීවන රජ මැදුර සැදේ //
C             F	            
සිහින විමානේ ආදර මතඟන 
G              C
මා වෙත ඈ එනවා,,,| C | + | F | +  |

|Am |Em | C |G7/C|
| G |F/C|Dm |G/C |
| C | G | C | -  |,|| C | - | G | C ||
 | C |C7 | F | - |
 |C/F|Bb | C | + |,| C | G |C/G| C |
| G |Dm |Am | C |
| C | G | F | C |
| C |G/C|Dm | C |,|| C  | -  |C7 | F |
 |F/Bb|F/Bb| F | C ||
 | C  |  - | F | - |
 | G  |  - | C | + |,",Victor Rathnayaka,Harsha Jayamanne,රණඹර ඉඳු දුනු,"1,032",K.D.K.Dharmawardhana
,,,,,,,,
Neela Wickramasinghe,"Classics,Duets,Movie Songs",,,Nimal Mendis,Harsha Jayamanne,රන් ටිකිරි සිනා,"1,492",A Vinayagarathnam
Sunil Edirisinghe,"Classics,New Pop", A major ,",| A | - | - | - |
 | A | - | D |Bm |
 | E | D |F#m| A |
||Bm | - | E | A ||,A      F#m    A       F#m
රන් සමනලයෝ පුංචි කැකුලියෝ
Bm    E      A
දේදුන්නේ නැඟිලා //
A     C#m     Bm       D
මීදුම් සළුවේ, තුරු මල් උයනේ
F#m          Bm
කොයි යන්නේ පියඹා
A      F#m    A       F#m
රන් සමනලයෝ පුංචි කැකුලියෝ
Bm    E      A
දේදුන්නේ නැඟිලා,A                 E        E7      A
පෙම්බර ආල හිතේ ගී නොවෙදෝ ගැයුවේ
A        C#m    E  E7 Bm    D         A 
මොළකැටි බාලවියේ ඒ  ඒ හුරතල් කොතැනේ
    Bm       A
මව් දෑතින් මිදුණාදෝ
       Bm      A
යෞවනයේ මත් වීදෝ,,A              E      E7      A
ලද මනමාල හිතේ ආදරයේ සුවඳේ
A       C#m     E  E7 Bm   D      A 
තව නොදිටීද ලොවේ ඒ ජීවිතයේ අරුමේ
       Bm      A
මල් යහනා පැතුවාදෝ
       Bm     A
ඒ යහනා හමුවේදෝ,,,| A | - | - | - |
 | A | - | D |Bm |
 | E | D |F#m| A |
||Bm | - | E | A ||,||A/F#m|F#m|A/F#m|F#m|
 | Bm  | E |  A  | - ||
 |  A  |C#m|  Bm | D |
 | F#m | - |  Bm | - |
 |A/F#m|F#m|A/F#m|F#m|
 | Bm  | E |  A  | - |,| A | - | E | - |
 | E |E7 | A | - |
 | A |C#m| E |E7 |
 |Bm | D | A | - |
||Bm | - | A | - ||,",Sarath De Alwis,Harsha Jayamanne,රන් සමනලයෝ,"3,003",Premakeerthi De Alwis
,,,,,,,,
Clarence Wijewardena,Old Pops, E major ,,Clarence Wijewardena,Harsha Jayamanne,රන් සමනලයින්,"2,854",Clarence Wijewardena
Deepika Priyadarshani,Current Songs, D minor ,",|Dm | - | - | - |
|A7 | - | - | - |
|Bb | - | F | - |
|Bb | - | - | - |
|Dm | - |A7 | - |
| C | - |Dm | - |,Dm
රන් සමනලයෙක් ඇයගේ මුහුණේ 
Dm               A7
පැනි බොන්නට ඇවිදින්
Gm               C
කොහොමද සමනලයාට ඉතිං අපි 
A7             Dm
ඇත්ත කියාදෙන්නේ
Dm        Gm   C           F
ඇයගේ ගීයෙන්  මත් වූ කොවුලන් 
Dm            A7
ඈ ළඟටම ඇවිදින්
A7             Gm
කවුරුද ඇය කෙවිලියක් නොවන වග 
A7            Gm
උන්ට කියා දෙන්නේ,F
මොණරෙක් නැති වුන සිකිපිල් සොයමින් 
Dm             Gm
ඇයගේ වරළ සිඹී
C                           
ඒ මොණරා හට තතු පහදන්නේ 
C            Dm
මොන විදිහට අපී
A7
නා ගස නාදළු නරඹයි ඇයගේ 
C                 F
තොල්පෙති වෙතට එබී
A7            Gm
අනේ අහිංසක නාගස ඇය හට 
A7             Gm
රැවටී තිබෙන හැටී,,F
විලෙන් පලා ගිය හංස යුවල කෝ 
Dm             Gm
විල ඇයගෙන් විමසයි
C   
දෑතින් සිය ළැම මඬල වසාගෙන 
C               Dm
විලියෙන් ඇය ඇඹරෙයි
A7
කෝ මානෙල් පෙති ජෝඩුව මාගේ 
C                 F
මහනෙල ඇගෙන් අසයි
A7               Gm
මානෙල් මල් පෙති ගත්තේ නැති බව 
A7            Gm
කියමින් ඈ දිවුරයි,,,|Dm | - | - | - |
|A7 | - | - | - |
|Bb | - | F | - |
|Bb | - | - | - |
|Dm | - |A7 | - |
| C | - |Dm | - |,|Dm | - | - | - |
|Dm | - |A7 | - |
|Gm | - | C | - |
|A7 | - |Dm | - |
|Dm |Gm | C | F |
|Dm | - |A7 | - |
|A7 | - |Gm | - |
|A7 | - |Gm | - |,| F | - | - | - |
|Dm | - |Gm | - |
| C | - | C | - |
| C | - |Dm | - |
|A7 | - | - | - |
| C | - | F | - |
|A7 | - |Gm | - |
|A7 | - |Gm | - |,",Rohana Weerasingha,Harsha Jayamanne,රන් සමනලයෙක්,416,Sunil Ariyarathna
,,,,,,,,
Saman De Silva,Old Pops, Bb major ,",|Bb | - |F7 |F7/Bb|
|Bb | - |Eb |  -  |
|F7 | F |Bb |  -  |
|Bb/F|Bb/F|F7| F  |
|Bb |Eb |F7 | Bb  |,Bb
රන් රස වාගේ ගැලපෙන්නේ
Bb      Eb    F        Bb
මා ප්‍රිය සොඳුරී පණ වැන්නේ//
Ab            Bb
මා හද විමනේ දැල්වෙන පහනේ
Ab          Bb
සැමදා වේවා ඔබ ආලෝකේ
Bb 
රන් රස වාගේ ගැලපෙන්නේ
Bb      Eb    F        Bb
මා ප්‍රිය සොඳුරී පණ වැන්නේ,Bb       F/Bb  F       F/Bb
මා වෙහෙසීලා ගෙට එන විගසේ
Bb    Ab     C/Bb
ආදර බස් පවසන්නේ
Bb     F/Bb   F       F/Bb
මට සලකන්නේ රජෙකුට විලසේ
Bb        Ab     C/Bb
මගෙ දුක සැප විමසන්නේ
Ab            F        F/Bb
මා පණ විලසේ ඔබ රැකගන්නේ
F             F / Bb | Bb
නෑ කිසිදා දුක දෙන්නේ,,Bb       F/Bb  F      F/Bb
මල් සර දෝණී පිදුවද සෙනෙහේ
Bb      Ab     C/Bb
මා නැත ඒ පිළිගන්නේ
Bb      F/Bb   F      F/Bb
මා ප්‍රිය සොඳුරී දෙන මදහාසේ
Bb     Ab      C/Bb
ඒ ළඳ නෑ මට දෙන්නේ
Ab              F        F/Bb
මේ ලෙස සසරේ ඔබමය සොඳුරේ
F              F / Bb | Bb
මගෙ සහකාරිය වන්නේ,,,|Bb | - |F7 |F7/Bb|
|Bb | - |Eb |  -  |
|F7 | F |Bb |  -  |
|Bb/F|Bb/F|F7| F  |
|Bb |Eb |F7 | Bb  |,||Bb | - | - | - |
 |Bb |Eb | F |Bb ||
||Ab | - |Bb | - ||
 |Bb | - | - | - |
 |Bb |Eb | F |Bb |,||Bb|F/Bb| F|F/Bb |
 |Bb |Ab |C/Bb|Bb ||
 |Ab | - | F |F/Bb|
 | F | - |F/Bb|Bb |,",Ernest Zoysa,Harsha Jayamanne,රන් රස වාගේ,"1,508",Vernon Perera
